,0
0,12
1,1
2,40
3,9
4,6
5,80
6,40
7,15
8,3
9,70
10,90
11,5
12,5
13,5
14,2
15,70
16,9
17,60
18,30
19,17
20,80
21,18
22,18
23,19
24,13
25,0
26,40
27,50
28,11
29,60
30,19
31,50
32,80
33,13
34,5
35,2
36,4
37,19
38,19
39,7
40,17
41,13
42,10
43,7
44,4
45,20
46,12
47,100
48,4
49,70
50,20
51,20
52,11
53,100
54,1000
55,6
56,11
57,17
58,11
59,18
60,2
61,11
62,1000000
63,0
64,20
65,4
66,20
67,3
68,10
69,100
70,4
71,11
72,9
73,90
74,5
75,13
76,1000000
77,6
78,10
79,10
80,6
81,40
82,0
83,16
84,13
85,13
86,16
87,14
88,40
89,9
90,3
91,17
92,40
93,17
94,9
95,4
96,30
97,1
98,6
99,5
100,70
101,18
102,0
103,11
104,17
105,6
106,13
107,50
108,7
109,5
110,9
111,6
112,20
113,70
114,1
115,9
116,3
117,80
118,80
119,100
120,5
121,40
122,5
123,30
124,40
125,70
126,0
127,1
128,16
129,9
130,19
131,40
132,80
133,3
134,7
135,30
136,1000000000
137,3
138,1000000000
139,1
140,19
141,90
142,100
143,16
144,90
145,30
146,1000000
147,15
148,1000000
149,12
150,8
151,18
152,80
153,4
154,20
155,0
156,18
157,15
158,15
159,1000
160,8
161,9
162,19
163,1
164,14
165,70
166,14
167,100
168,6
169,20
170,40
171,1
172,1000000000
173,16
174,14
175,30
176,9
177,100
178,20
179,17
180,7
181,4
182,5
183,18
184,0
185,40
186,15
187,13
188,1000
189,16
190,1000000
191,1000000000
192,17
193,1000000
194,1
195,30
196,10
197,3
198,20
199,90
200,6
201,14
202,9
203,19
204,60
205,3
206,12
207,100
208,18
209,5
210,14
211,60
212,18
213,90
214,5
215,0
216,4
217,10
218,2
219,5
220,2
221,20
222,8
223,60
224,3
225,2
226,1
227,1000
228,11
229,100
230,70
231,0
232,1000
233,4
234,12
235,1000000
236,60
237,5
238,100
239,7
240,1000000
241,1000000000
242,7
243,9
244,12
245,10
246,1000000000
247,13
248,20
249,17
250,20
251,17
252,20
253,90
254,0
255,17
256,15
257,15
258,70
259,19
260,11
261,50
262,18
263,20
264,2
265,12
266,1000000
267,7
268,1000000
269,14
270,20
271,1000000
272,40
273,2
274,100
275,4
276,6
277,80
278,100
279,10
280,100
281,0
282,7
283,9
284,19
285,50
286,8
287,17
288,4
289,1000
290,70
291,13
292,14
293,80
294,7
295,11
296,19
297,7
298,14
299,6
300,60
301,80
302,80
303,12
304,90
305,30
306,40
307,100
308,11
309,7
310,10
311,40
312,16
313,1000000000
314,16
315,80
316,12
317,1
318,30
319,40
320,1000000
321,100
322,10
323,1000
324,1000000
325,80
326,1000000
327,40
328,0
329,3
330,7
331,1000000
332,16
333,13
334,3
335,9
336,100
337,13
338,5
339,3
340,100
341,0
342,1000000000
343,3
344,100
345,30
346,0
347,11
348,0
349,12
350,1
351,80
352,0
353,17
354,13
355,30
356,16
357,50
358,12
359,12
360,6
361,14
362,100
363,80
364,50
365,4
366,1000000
367,50
368,40
369,7
370,12
371,60
372,50
373,1000000
374,6
375,4
376,11
377,5
378,100
379,7
380,17
381,100
382,8
383,9
384,60
385,40
386,3
387,4
388,20
389,90
390,6
391,30
392,60
393,13
394,15
395,8
396,30
397,19
398,50
399,15
400,13
401,40
402,14
403,1
404,40
405,20
406,19
407,30
408,17
409,11
410,4
411,17
412,18
413,15
414,80
415,1000
416,100
417,1000
418,4
419,0
420,3
421,1
422,15
423,70
424,14
425,20
426,30
427,1
428,17
429,50
430,1000
431,11
432,1
433,1000000000
434,11
435,14
436,1
437,1000000
438,14
439,1000000000
440,70
441,16
442,14
443,16
444,3
445,1
446,12
447,10
448,60
449,10
450,3
451,1000000000
452,1000000
453,7
454,17
455,1
456,5
457,8
458,17
459,50
460,10
461,5
462,19
463,5
464,1000000
465,13
466,15
467,2
468,17
469,16
470,10
471,1000000000
472,3
473,30
474,1000
475,7
476,10
477,9
478,10
479,17
480,11
481,18
482,1000000000
483,50
484,13
485,7
486,50
487,15
488,14
489,16
490,6
491,17
492,13
493,2
494,50
495,13
496,5
497,90
498,1000000000
499,3
500,30
501,16
502,16
503,19
504,2
505,50
506,15
507,1000
508,12
509,1000
510,40
511,12
512,60
513,11
514,70
515,1000
516,7
517,10
518,12
519,2
520,17
521,12
522,1000000
523,5
524,50
525,1
526,1000000000
527,14
528,1000000
529,5
530,13
531,9
532,70
533,1000000
534,7
535,14
536,14
537,16
538,100
539,80
540,3
541,13
542,5
543,0
544,1000000000
545,14
546,60
547,0
548,10
549,60
550,12
551,40
552,1000000000
553,1
554,19
555,80
556,19
557,19
558,19
559,7
560,19
561,1000
562,60
563,0
564,12
565,50
566,50
567,18
568,0
569,7
570,100
571,11
572,70
573,6
574,40
575,7
576,12
577,1000000000
578,80
579,8
580,9
581,16
582,15
583,1
584,17
585,80
586,4
587,1
588,2
589,17
590,14
591,6
592,70
593,70
594,19
595,70
596,1000
597,15
598,4
599,8
600,15
601,70
602,5
603,1000000
604,2
605,80
606,1000000
607,8
608,7
609,1
610,15
611,50
612,11
613,70
614,40
615,15
616,90
617,18
618,2
619,20
620,2
621,1000
622,19
623,70
624,70
625,20
626,60
627,3
628,14
629,5
630,2
631,2
632,1000
633,12
634,19
635,0
636,12
637,17
638,80
639,30
640,18
641,90
642,80
643,3
644,15
645,70
646,11
647,80
648,10
649,14
650,5
651,15
652,40
653,1
654,1
655,9
656,8
657,18
658,20
659,15
660,60
661,8
662,12
663,12
664,1000
665,100
666,17
667,4
668,100
669,19
670,30
671,1
672,40
673,5
674,1000
675,30
676,90
677,1000
678,16
679,2
680,14
681,1
682,80
683,1000000000
684,14
685,12
686,5
687,6
688,80
689,13
690,1000000
691,13
692,18
693,12
694,90
695,4
696,50
697,19
698,4
699,30
700,100
701,15
702,50
703,13
704,0
705,13
706,10
707,1000
708,60
709,3
710,70
711,8
712,19
713,90
714,100
715,18
716,30
717,16
718,60
719,0
720,90
721,50
722,20
723,6
724,16
725,2
726,11
727,18
728,1000000
729,10
730,10
731,18
732,1000
733,10
734,19
735,1000000
736,0
737,14
738,70
739,8
740,14
741,1
742,60
743,30
744,16
745,7
746,60
747,14
748,1000000000
749,9
750,4
751,90
752,10
753,30
754,90
755,80
756,7
757,1
758,1000000
759,70
760,2
761,1000
762,40
763,16
764,12
765,20
766,100
767,12
768,9
769,20
770,50
771,1000000
772,2
773,11
774,12
775,15
776,4
777,1000000
778,14
779,80
780,15
781,1000
782,16
783,70
784,100
785,0
786,70
787,10
788,5
789,1000000
790,60
791,1000000
792,0
793,90
794,0
795,0
796,8
797,4
798,70
799,14
800,11
801,4
802,6
803,100
804,8
805,13
806,1000000000
807,1000
808,1000
809,10
810,100
811,10
812,6
813,1
814,1000
815,0
816,8
817,10
818,40
819,12
820,11
821,10
822,0
823,19
824,50
825,20
826,0
827,14
828,14
829,18
830,30
831,19
832,10
833,90
834,14
835,11
836,4
837,14
838,6
839,1000
840,6
841,9
842,50
843,16
844,6
845,1000000000
846,1000000
847,11
848,60
849,3
850,1000000000
851,14
852,4
853,80
854,0
855,2
856,7
857,80
858,6
859,50
860,5
861,15
862,5
863,30
864,1
865,1000
866,16
867,70
868,6
869,6
870,7
871,19
872,2
873,3
874,20
875,6
876,13
877,1000
878,11
879,13
880,6
881,18
882,10
883,11
884,12
885,19
886,14
887,14
888,4
889,8
890,50
891,13
892,18
893,60
894,1000
895,90
896,5
897,70
898,30
899,7
900,1000
901,5
902,19
903,9
904,9
905,11
906,20
907,90
908,0
909,15
910,70
911,4
912,1
913,70
914,9
915,9
916,80
917,13
918,14
919,10
920,80
921,8
922,18
923,19
924,12
925,9
926,90
927,19
928,16
929,1000
930,0
931,80
932,16
933,16
934,18
935,50
936,7
937,11
938,2
939,40
940,8
941,14
942,6
943,19
944,1
945,1
946,5
947,70
948,60
949,40
950,100
951,5
952,6
953,16
954,5
955,90
956,30
957,15
958,5
959,13
960,2
961,17
962,100
963,9
964,5
965,14
966,2
967,5
968,5
969,5
970,4
971,50
972,9
973,12
974,18
975,30
976,1000
977,8
978,8
979,7
980,2
981,3
982,100
983,19
984,17
985,3
986,100
987,19
988,40
989,11
990,16
991,17
992,90
993,15
994,100
995,100
996,70
997,8
998,1000000
999,15
1000,60
1001,2
1002,2
1003,60
1004,1
1005,18
1006,13
1007,11
1008,8
1009,12
1010,40
1011,60
1012,50
1013,30
1014,6
1015,19
1016,16
1017,3
1018,70
1019,9
1020,19
1021,30
1022,1000000
1023,3
1024,1000
1025,1000
1026,3
1027,10
1028,11
1029,10
1030,3
1031,17
1032,7
1033,8
1034,0
1035,0
1036,1000
1037,100
1038,4
1039,5
1040,1
1041,1000000000
1042,4
1043,0
1044,16
1045,1000000
1046,60
1047,11
1048,70
1049,16
1050,5
1051,11
1052,40
1053,9
1054,17
1055,50
1056,3
1057,15
1058,70
1059,50
1060,16
1061,3
1062,10
1063,20
1064,4
1065,0
1066,18
1067,1000000000
1068,18
1069,80
1070,16
1071,1000000
1072,5
1073,30
1074,1
1075,15
1076,80
1077,6
1078,18
1079,1000000000
